Outlet name,Kitchen J & S,Address,Powai Mumbai-76,LogoImageURL,https://www.jsilkstonephotography.com/img/s/v-10/p987018393-3.jpg,7
WhatsApp number,919167788249,Contact email,hi@jottr.in,,,
Currency,INR,Open?,No,,,
Delivery charge,30,Tax,5%,,,
Valid license key,27EC24CC-841D4C21-836FD29F-42DAC9EE,Minimum order value,40,,,
Payment mode,Show Note,Payment note or link,Payment options can be selected when creating your own WhatsOrder page.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Item,Category,Caption,ItemImageURL,Price,Veg,Available
Poha,Breakfast,2 pieces,https://i.ndtvimg.com/i/2017-08/bread-poha_240x180_81503556243.jpg,20,,Yes
Vada,Breakfast,2 pieces,https://i.ndtvimg.com/i/2018-02/vade_240x180_71519366784.jpg,40,,Yes
Cutlet,Breakfast,2 pieces,https://c.ndtvimg.com/2019-05/bp793k0o_cutlets_120x90_31_May_19.jpg,50,,Yes
Sada dosa,Breakfast,3 pieces,https://c.ndtvimg.com/2019-06/h88tnfao_ghee-roast-quesadilla-dosa_120x90_11_June_19.jpg,30,,Yes
Masala dosa,Breakfast,2 pieces,https://c.ndtvimg.com/2019-11/33vo07c_dosa_240x180_16_November_19.jpg,60,,Yes
Mysore sada dosa,Breakfast,2 pieces,https://i.ndtvimg.com/i/2015-01/masala-dosa_240x180_81422447203.jpg,70,,Yes
Thali,Lunch,"2 sabji, dal, rice & 4 chapatis",https://i.ndtvimg.com/i/2017-05/karnataka-food-centre-620x350_240x180_61495091025.jpg,120,,Yes
Veg Aloo,Main course,Sizzling spicy,https://www.ndtv.com/cooks/images/ALOO.BAINGAN.4567.000%281%29.jpg,60,,Yes
Kulfi,Dessert,Sweet dish,https://i.ndtvimg.com/i/2017-08/mango-pista-kulfi_300x200_71503644265.jpg,40,,Yes
Ginger Ale,Beverages,Refreshing drink,https://www.ndtv.com/cooks/images/Ginger.Ale-620.jpg,70,,Yes
Chicken Afghani,Main Course,Vegetables spiced up,https://c.ndtvimg.com/2018-09/1kcuvkv8_chicken_120x90_18_September_18.jpg,160,,Yes
